Year,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Gross domestic product,"104,560","92,167","77,406","59,532","57,165","66,812","74,259","84,854","93,029","87,387","93,473","102,946","129,356","165,997","203,122","224,550","228,173","227,812","249,945","274,807","272,827","300,198","347,294","367,728","389,739","391,146","426,175","450,130","474,851","482,045","522,451","543,283","563,303","605,115","638,582","685,786","743,728","815,039","861,731","942,480","1,019,878","1,075,884","1,167,770","1,282,449","1,428,549","1,548,825","1,688,923","1,877,587","2,085,951","2,356,571","2,632,143","2,862,505","3,210,956","3,344,991","3,638,137","4,040,693","4,346,734","4,590,155","4,870,217","5,252,629","5,657,693","5,979,589","6,174,043","6,539,299","6,878,718","7,308,755","7,664,060","8,100,201","8,608,515","9,089,168","9,660,624","10,284,779","10,621,824","10,977,514","11,510,670","12,274,928","13,093,726","13,855,888","14,477,635","14,718,582","14,418,739","14,964,372","15,517,926","16,155,255","16,691,517","17,427,609","18,120,714","18,624,475","19,386,801"
Personal consumption expenditures,"77,384","70,136","60,671","48,712","45,944","51,460","55,931","62,187","66,839","64,268","67,209","71,290","81,071","89,004","99,900","108,648","119,979","144,303","161,979","175,010","178,472","192,192","208,485","219,471","233,012","239,924","258,679","271,569","286,735","296,027","317,508","331,578","341,966","363,108","382,482","411,193","443,582","480,597","507,412","557,449","604,486","647,688","700,990","769,431","851,143","931,999","1,032,755","1,150,172","1,276,673","1,426,173","1,589,496","1,754,616","1,937,512","2,073,913","2,286,519","2,498,155","2,722,674","2,898,411","3,092,050","3,346,889","3,592,814","3,825,630","3,960,151","4,215,654","4,471,002","4,741,018","4,984,178","5,268,071","5,560,720","5,903,033","6,307,022","6,792,396","7,103,104","7,384,053","7,765,529","8,260,018","8,794,112","9,303,992","9,750,505","10,013,648","9,846,968","10,202,191","10,689,299","11,050,627","11,361,174","11,863,669","12,332,257","12,820,694","13,393,690"
Goods,"43,769","38,165","31,708","24,125","23,756","28,483","31,628","35,969","38,374","36,005","37,921","40,632","47,448","51,025","56,331","60,532","67,624","86,243","99,428","107,421","108,082","116,830","124,750","128,784","134,833","135,764","147,398","152,153","159,605","161,568","172,607","177,015","178,809","188,969","198,154","212,254","229,676","249,620","258,991","284,615","304,677","318,794","342,116","373,815","416,636","451,539","491,334","546,305","600,383","663,567","737,938","799,792","869,373","899,292","973,780","1,063,700","1,137,606","1,195,629","1,256,296","1,337,308","1,423,803","1,491,302","1,497,435","1,563,269","1,642,347","1,746,554","1,815,532","1,917,673","2,006,764","2,108,719","2,286,769","2,452,854","2,525,237","2,598,581","2,721,556","2,900,255","3,080,281","3,235,797","3,361,573","3,375,702","3,198,444","3,362,811","3,596,461","3,739,079","3,834,520","3,970,453","4,033,158","4,121,418","4,296,994"
Durable goods,"9,828","7,661","5,910","3,957","3,761","4,563","5,493","6,749","7,394","6,123","7,167","8,288","10,269","7,630","7,470","7,742","9,099","17,113","21,833","24,454","26,624","32,445","31,740","31,242","34,616","33,711","40,745","40,169","42,030","39,530","44,887","45,626","44,206","49,464","54,228","59,557","66,391","71,745","73,981","84,827","90,482","89,988","102,447","116,444","130,527","130,177","142,165","168,624","191,963","213,349","226,340","226,390","243,940","253,032","295,029","342,156","380,363","421,440","442,021","475,052","494,328","497,080","477,185","508,082","551,532","607,171","635,738","676,297","715,530","779,295","855,570","912,571","941,515","985,367","1,017,526","1,079,823","1,127,231","1,156,115","1,184,633","1,102,283","1,023,319","1,070,692","1,125,327","1,191,861","1,241,692","1,296,383","1,367,137","1,411,006","1,474,482"
Nondurable goods,"33,941","30,504","25,798","20,168","19,995","23,920","26,135","29,220","30,980","29,882","30,754","32,344","37,179","43,395","48,861","52,790","58,525","69,130","77,595","82,967","81,458","84,385","93,010","97,542","100,217","102,053","106,653","111,984","117,575","122,038","127,720","131,389","134,603","139,505","143,926","152,697","163,285","177,875","185,010","199,788","214,195","228,806","239,669","257,371","286,109","321,362","349,169","377,681","408,420","450,218","511,598","573,402","625,433","646,260","678,751","721,544","757,243","774,189","814,275","862,256","929,475","994,222","1,020,250","1,055,187","1,090,815","1,139,383","1,179,794","1,241,376","1,291,234","1,329,424","1,431,199","1,540,283","1,583,722","1,613,214","1,704,030","1,820,432","1,953,050","2,079,682","2,176,940","2,273,419","2,175,125","2,292,119","2,471,134","2,547,218","2,592,827","2,674,070","2,666,021","2,710,412","2,822,512"
Services,"33,615","31,971","28,963","24,587","22,188","22,977","24,303","26,218","28,465","28,263","29,288","30,658","33,623","37,979","43,569","48,116","52,355","58,060","62,551","67,589","70,390","75,362","83,735","90,687","98,179","104,160","111,281","119,416","127,130","134,459","144,901","154,563","163,157","174,139","184,328","198,939","213,906","230,977","248,421","272,834","299,809","328,894","358,874","395,616","434,507","480,460","541,421","603,867","676,290","762,606","851,558","954,824","1,068,139","1,174,621","1,312,739","1,434,455","1,585,068","1,702,782","1,835,754","2,009,581","2,169,011","2,334,328","2,462,716","2,652,385","2,828,655","2,994,464","3,168,646","3,350,398","3,553,956","3,794,314","4,020,253","4,339,542","4,577,867","4,785,472","5,043,973","5,359,763","5,713,831","6,068,195","6,388,932","6,637,946","6,648,524","6,839,380","7,092,838","7,311,548","7,526,654","7,893,216","8,299,098","8,699,275","9,096,696"
Gross private domestic investment,"17,168","11,428","6,549","1,818","2,273","4,296","7,370","9,391","12,964","7,943","10,228","14,577","19,370","11,763","7,400","9,180","12,400","33,129","37,130","50,345","39,095","56,532","62,753","57,267","60,415","58,068","73,760","77,682","76,505","70,949","85,666","86,477","86,579","96,976","103,281","112,153","129,643","144,186","142,699","156,922","173,560","170,050","196,827","228,145","266,930","274,527","257,253","323,222","396,612","478,377","539,656","530,098","631,230","581,031","637,516","820,093","829,649","849,144","892,177","936,964","999,701","993,453","944,344","1,013,014","1,106,829","1,256,483","1,317,478","1,432,057","1,595,606","1,735,330","1,884,195","2,033,750","1,928,638","1,924,988","2,027,947","2,276,678","2,527,109","2,680,649","2,643,745","2,424,810","1,878,116","2,100,812","2,239,879","2,511,703","2,706,296","2,916,402","3,093,580","3,057,226","3,210,650"
Fixed investment,"15,628","11,651","7,661","4,169","3,676","4,876","6,230","8,230","10,339","8,518","10,021","12,184","15,040","9,857","8,146","10,104","13,876","27,118","37,680","44,687","41,787","50,762","52,844","53,753","58,467","60,005","68,772","73,732","75,728","71,315","81,749","83,245","83,605","90,875","97,660","107,332","120,396","130,550","132,833","147,869","164,387","168,049","188,571","219,038","251,052","260,537","263,509","306,106","374,288","452,586","521,672","536,429","601,421","595,945","643,267","754,688","807,825","842,573","865,028","918,482","972,008","978,906","944,738","996,686","1,086,015","1,192,699","1,286,305","1,401,257","1,524,666","1,671,611","1,823,379","1,979,205","1,966,921","1,906,487","2,008,661","2,212,818","2,467,530","2,613,677","2,609,293","2,456,806","2,025,686","2,039,284","2,198,116","2,449,910","2,613,889","2,838,416","2,981,637","3,022,148","3,196,800"
Nonresidential,"11,557","9,184","5,762","3,294","2,952","3,833","4,830","6,404","8,178","6,279","6,870","8,541","10,824","7,504","6,578","8,608","12,053","19,163","25,471","28,879","26,946","30,018","34,183","34,895","38,768","38,563","43,369","49,745","53,097","48,492","53,121","56,389","56,594","61,232","64,805","72,232","85,233","97,172","99,206","107,670","120,012","124,638","130,418","146,639","172,730","191,069","196,776","219,344","259,059","314,576","373,831","406,909","472,939","485,097","482,154","564,324","607,748","607,761","615,238","662,282","715,993","739,237","723,585","741,945","799,206","868,852","962,237","1,043,196","1,149,081","1,252,804","1,361,613","1,493,773","1,453,876","1,348,893","1,371,717","1,463,147","1,611,470","1,776,288","1,920,615","1,940,954","1,633,443","1,658,221","1,812,077","2,007,661","2,094,352","2,268,262","2,336,245","2,316,295","2,449,595"
Structures,"5,491","4,448","2,619","1,392","1,091","1,234","1,433","1,878","2,706","2,124","2,217","2,557","3,250","2,241","1,770","2,369","3,336","7,381","8,137","9,526","9,178","9,957","11,954","12,224","13,570","13,865","15,157","18,180","18,950","17,629","18,149","19,568","19,715","20,778","21,199","23,737","28,321","31,349","31,511","33,557","37,698","40,287","42,679","47,173","54,983","61,237","61,350","65,915","74,578","93,584","117,701","136,170","167,314","177,564","154,344","177,397","194,517","176,527","174,202","182,789","193,716","202,917","183,605","172,572","177,152","186,768","207,271","224,582","250,265","275,129","283,945","318,140","329,747","282,903","281,830","301,805","345,645","415,586","496,929","552,387","438,211","362,041","381,644","447,986","463,617","537,504","537,500","516,177","558,559"
Equipment,"5,492","4,180","2,643","1,460","1,436","2,098","2,833","3,881","4,770","3,401","3,883","5,167","6,443","4,065","3,671","5,002","7,285","9,945","15,316","17,280","15,732","17,799","19,874","19,694","21,531","20,812","23,888","26,343","28,561","24,876","28,345","29,679","28,904","32,056","34,367","38,684","45,779","53,023","53,693","58,532","65,163","66,404","69,059","78,885","95,062","104,316","107,615","121,242","148,665","180,634","208,062","216,386","240,852","234,862","246,470","291,874","307,905","317,693","320,919","346,816","372,160","371,891","360,849","381,699","425,141","476,380","528,128","565,309","610,859","660,014","713,626","766,088","711,517","659,640","668,971","719,193","790,695","856,134","885,773","825,149","644,308","731,832","838,236","937,939","982,804","1,046,458","1,081,934","1,043,930","1,098,013"
Intellectual property products,574,556,500,442,425,501,564,645,702,754,770,817,"1,131","1,198","1,137","1,237","1,432","1,837","2,018","2,073","2,036","2,262","2,355","2,977","3,667","3,886","4,324","5,222","5,586","5,987","6,627","7,142","7,975","8,398","9,239","9,811","11,133","12,800","14,002","15,581","17,151","17,947","18,680","20,581","22,685","25,516","27,811","32,187","35,816","40,358","48,068","54,353","64,773","72,671","81,340","95,053","105,326","113,541","120,117","132,677","150,117","164,429","179,131","187,674","196,913","205,704","226,838","253,305","287,957","317,661","364,042","409,545","412,612","406,350","420,916","442,149","475,130","504,568","537,913","563,418","550,924","564,348","592,197","621,736","647,931","684,299","716,811","756,187","793,022"
Residential,"4,071","2,467","1,899",875,724,"1,043","1,400","1,826","2,161","2,239","3,151","3,643","4,216","2,353","1,568","1,496","1,823","7,955","12,209","15,808","14,841","20,744","18,661","18,858","19,699","21,442","25,403","23,987","22,631","22,823","28,628","26,856","27,011","29,643","32,855","35,100","35,163","33,378","33,627","40,199","44,375","43,411","58,153","72,399","78,322","69,468","66,733","86,762","115,229","138,010","147,841","129,520","128,482","110,848","161,113","190,364","200,077","234,812","249,790","256,200","256,015","239,669","221,153","254,741","286,809","323,847","324,068","358,061","375,585","418,807","461,766","485,432","513,045","557,594","636,944","749,671","856,060","837,389","688,678","515,852","392,243","381,063","386,039","442,248","519,538","570,154","645,392","705,853","747,205"
Change in private inventories,"1,540",-223,"-1,112","-2,351","-1,403",-580,"1,140","1,161","2,625",-575,207,"2,393","4,330","1,906",-746,-924,"-1,476","6,011",-550,"5,658","-2,692","5,770","9,909","3,514","1,948","-1,937","4,988","3,950",777,-366,"3,917","3,232","2,974","6,101","5,621","4,821","9,247","13,636","9,866","9,053","9,173","2,001","8,256","9,107","15,878","13,990","-6,256","17,116","22,324","25,791","17,984","-6,331","29,809","-14,914","-5,751","65,405","21,824","6,571","27,149","18,482","27,693","14,547",-394,"16,328","20,814","63,784","31,173","30,800","70,940","63,719","60,816","54,545","-38,283","18,501","19,286","63,860","59,579","66,972","34,452","-31,996","-147,570","61,528","41,763","61,794","92,407","77,987","111,943","35,078","13,849"
Net exports of goods and services,383,323,1,43,58,322,-213,-147,78,966,833,"1,471","1,033",-252,"-2,246","-2,024",-766,"7,182","10,807","5,487","5,235",738,"2,513","1,164",-701,404,478,"2,361","4,075",538,396,"4,204","4,914","4,100","4,940","6,914","5,618","3,864","3,554","1,351","1,431","3,950",622,"-3,372","4,111",-814,"15,978","-1,631","-23,093","-25,366","-22,546","-13,056","-12,520","-19,974","-51,642","-102,724","-114,019","-131,867","-144,770","-109,392","-86,741","-77,855","-28,615","-34,740","-65,174","-92,486","-89,758","-96,376","-101,970","-162,709","-256,631","-375,795","-368,683","-426,464","-503,655","-619,170","-721,185","-770,947","-718,542","-723,067","-395,436","-512,657","-579,995","-565,662","-492,005","-509,509","-524,042","-521,239","-570,882"
Exports,"5,939","4,444","2,906","1,975","1,987","2,561","2,769","3,007","4,039","3,811","3,969","4,897","5,482","4,375","4,034","4,880","6,781","14,156","18,740","15,547","14,484","12,350","17,099","16,459","15,313","15,836","17,677","21,284","24,017","20,560","22,725","27,045","27,602","29,065","31,075","35,019","37,147","40,921","43,466","47,907","51,922","59,710","62,964","70,844","95,270","126,651","138,707","149,515","159,350","186,885","230,129","280,773","305,239","283,209","276,996","302,383","303,209","321,000","363,944","444,601","504,291","551,874","594,932","633,053","654,800","720,939","812,813","867,590","953,806","952,981","991,980","1,096,835","1,026,713","1,002,509","1,040,279","1,181,507","1,308,901","1,476,316","1,664,625","1,841,942","1,587,742","1,852,335","2,106,371","2,198,182","2,276,608","2,373,648","2,264,916","2,214,566","2,343,907"
Goods,"5,347","3,929","2,494","1,667","1,736","2,238","2,404","2,590","3,451","3,243","3,347","4,124","4,533","3,389","2,920","3,589","5,365","11,764","16,097","13,265","12,213","10,203","14,243","13,449","12,412","12,929","14,424","17,556","19,562","16,414","16,458","20,453","20,947","21,708","23,346","26,767","27,974","31,090","32,546","35,722","38,744","45,038","46,197","52,587","75,772","103,495","112,491","121,484","128,411","149,909","187,266","230,429","245,206","222,550","214,048","231,289","227,487","231,448","265,555","332,055","374,752","403,265","430,137","455,310","467,725","518,372","592,443","628,784","699,889","692,566","711,723","797,256","743,835","713,161","741,420","834,384","926,583","1,049,570","1,166,421","1,298,804","1,065,118","1,279,593","1,466,862","1,525,999","1,562,666","1,617,920","1,497,204","1,446,035","1,547,409"
Services,592,515,412,308,251,323,365,417,588,568,622,773,949,986,"1,114","1,291","1,416","2,392","2,643","2,282","2,271","2,147","2,856","3,010","2,901","2,907","3,253","3,728","4,455","4,146","6,267","6,592","6,655","7,357","7,729","8,252","9,173","9,831","10,920","12,185","13,178","14,672","16,767","18,257","19,498","23,156","26,216","28,031","30,939","36,976","42,863","50,344","60,033","60,659","62,948","71,094","75,722","89,552","98,389","112,546","129,539","148,609","164,795","177,743","187,075","202,567","220,370","238,806","253,917","260,415","280,257","299,579","282,878","289,348","298,859","347,123","382,318","426,746","498,204","543,138","522,624","572,742","639,509","672,184","713,943","755,728","767,712","768,531","796,497"
Imports,"5,556","4,121","2,905","1,932","1,929","2,239","2,982","3,154","3,961","2,845","3,136","3,426","4,449","4,627","6,280","6,904","7,547","6,974","7,933","10,060","9,249","11,612","14,586","15,295","16,014","15,432","17,199","18,923","19,942","20,022","22,329","22,841","22,688","24,965","26,135","28,105","31,529","37,057","39,912","46,556","50,491","55,760","62,342","74,216","91,159","127,465","122,729","151,146","182,443","212,251","252,675","293,829","317,759","303,183","328,638","405,107","417,228","452,867","508,714","553,993","591,032","629,729","623,547","667,793","719,974","813,425","902,571","963,966","1,055,776","1,115,690","1,248,611","1,472,630","1,395,396","1,428,973","1,543,934","1,800,677","2,030,086","2,247,263","2,383,167","2,565,009","1,983,178","2,364,992","2,686,366","2,763,844","2,768,613","2,883,157","2,788,958","2,735,805","2,914,789"
Goods,"4,463","3,104","2,120","1,343","1,510","1,763","2,462","2,546","3,181","2,173","2,409","2,698","3,416","2,744","3,442","3,813","3,893","5,067","5,973","7,557","6,874","9,081","11,176","10,838","10,975","10,353","11,527","12,803","13,291","12,951","15,311","15,220","15,053","16,869","17,713","19,392","22,247","26,334","27,761","33,946","36,813","40,855","46,550","56,934","71,843","104,520","99,000","124,632","152,630","177,410","212,788","248,571","267,815","250,541","272,677","336,316","343,294","370,006","414,769","452,124","484,793","508,072","500,723","544,929","592,762","676,813","757,448","807,448","885,656","930,751","1,051,210","1,251,475","1,176,696","1,199,336","1,296,192","1,511,563","1,719,374","1,899,658","2,003,771","2,149,379","1,590,294","1,949,814","2,244,732","2,305,824","2,301,480","2,396,051","2,290,504","2,224,244","2,380,803"
Services,"1,093","1,017",785,589,419,476,520,608,780,672,727,728,"1,033","1,883","2,838","3,091","3,654","1,907","1,960","2,503","2,375","2,531","3,410","4,457","5,039","5,079","5,672","6,120","6,651","7,071","7,018","7,621","7,635","8,096","8,422","8,713","9,282","10,723","12,151","12,610","13,678","14,905","15,792","17,282","19,316","22,945","23,729","26,514","29,813","34,841","39,887","45,258","49,944","52,642","55,961","68,791","73,934","82,861","93,945","101,869","106,239","121,657","122,824","122,864","127,212","136,612","145,123","156,518","170,120","184,939","197,401","221,155","218,700","229,637","247,742","289,114","310,712","347,605","379,396","415,630","392,884","415,178","441,634","458,020","467,133","487,106","498,455","511,562","533,986"
Government consumption expenditures and gross investment,"9,625","10,280","10,185","8,959","8,890","10,734","11,171","13,423","13,148","14,210","15,203","15,608","27,882","65,482","98,068","108,746","96,560","43,198","40,029","43,965","50,025","50,736","73,543","89,826","97,013","92,750","93,258","98,518","107,536","114,531","118,881","121,024","129,844","140,931","147,879","155,526","164,885","186,392","208,066","226,758","240,401","254,196","269,331","288,245","306,365","343,113","382,937","405,824","435,759","477,387","525,537","590,847","654,734","710,021","765,744","825,169","908,430","974,467","1,030,760","1,078,168","1,151,919","1,238,361","1,298,163","1,345,371","1,366,061","1,403,740","1,452,162","1,496,449","1,554,159","1,613,514","1,726,038","1,834,428","1,958,765","2,094,937","2,220,849","2,357,402","2,493,690","2,642,194","2,801,927","3,003,191","3,089,091","3,174,026","3,168,743","3,158,586","3,116,051","3,157,046","3,218,919","3,267,795","3,353,344"
Federal,"1,877","1,988","2,045","1,983","2,439","3,435","3,550","5,760","5,274","5,903","6,222","6,828","19,098","56,680","89,469","100,118","87,305","32,061","25,813","27,102","30,471","29,455","49,977","64,822","70,266","63,256","61,010","63,112","68,448","71,494","73,548","72,841","77,354","85,492","87,834","90,223","93,149","106,543","119,959","127,917","131,146","132,749","134,409","141,521","145,565","158,128","172,772","183,753","198,795","216,707","237,733","272,364","311,729","345,614","380,191","407,620","449,276","478,377","500,219","508,819","531,380","560,019","580,738","586,605","578,383","572,690","575,360","578,210","582,401","584,096","610,427","632,433","669,236","740,604","824,808","892,379","946,320","1,001,989","1,049,772","1,155,606","1,217,685","1,303,864","1,303,451","1,292,526","1,229,458","1,218,149","1,224,011","1,231,528","1,260,713"
National defense,"1,029","1,067","1,060","1,030",980,923,"1,157","1,387","1,433","1,500","1,654","2,779","15,358","53,483","86,801","97,321","84,880","28,086","21,168","20,973","22,409","22,705","43,744","57,448","61,156","54,472","52,385","54,982","59,964","62,227","60,940","60,899","64,541","69,704","69,988","69,724","70,575","82,474","95,027","101,356","102,070","100,713","97,991","100,638","102,041","109,199","116,971","123,786","132,845","143,023","157,785","180,963","211,186","242,784","269,346","294,660","325,960","349,188","369,943","379,614","388,639","402,759","411,952","404,718","390,067","380,316","376,049","376,548","371,434","367,702","382,716","391,702","412,726","456,844","519,884","570,230","608,254","642,390","678,726","754,127","788,276","832,766","836,938","817,819","766,982","745,638","731,570","728,920","744,474"
Nondefense,848,921,985,953,"1,459","2,512","2,393","4,373","3,841","4,403","4,568","4,049","3,740","3,197","2,668","2,797","2,425","3,975","4,645","6,129","8,062","6,750","6,233","7,374","9,110","8,784","8,625","8,130","8,484","9,267","12,608","11,942","12,813","15,788","17,846","20,499","22,574","24,069","24,932","26,561","29,076","32,036","36,418","40,883","43,524","48,929","55,801","59,967","65,950","73,684","79,948","91,401","100,543","102,830","110,845","112,960","123,316","129,189","130,276","129,205","142,741","157,260","168,786","181,887","188,316","192,374","199,311","201,662","210,967","216,394","227,711","240,731","256,510","283,760","304,924","322,149","338,066","359,599","371,046","401,479","429,409","471,098","466,513","474,707","462,476","472,511","492,442","502,609","516,239"
State and local,"7,748","8,292","8,140","6,976","6,451","7,299","7,621","7,663","7,874","8,307","8,981","8,780","8,784","8,802","8,599","8,628","9,255","11,137","14,216","16,863","19,554","21,281","23,566","25,004","26,747","29,494","32,248","35,406","39,088","43,037","45,333","48,183","52,490","55,439","60,045","65,303","71,736","79,849","88,107","98,841","109,255","121,447","134,922","146,724","160,800","184,985","210,165","222,071","236,964","260,680","287,804","318,483","343,005","364,407","385,553","417,549","459,154","496,090","530,541","569,349","620,539","678,342","717,425","758,766","787,678","831,050","876,802","918,239","971,758","1,029,418","1,115,611","1,201,995","1,289,529","1,354,333","1,396,041","1,465,023","1,547,370","1,640,205","1,752,155","1,847,585","1,871,406","1,870,162","1,865,292","1,866,060","1,886,593","1,938,898","1,994,908","2,036,267","2,092,630"